ACQ_INST_ID,RETAILER_ID,TOTAL_TXN_CNT,MESSAGE_TYPE,PROCESSING_CODE,CHANNEL_TYPE,TOTAL_AMOUNT,TOTAL_COMMISSION,TOTAL_TAX,TOTAL_DISCOUNT,FINAL_AMOUNT
0014,03383,15,0210,000000,ALVI,54300,581,111,688,53612
0014,00893,7,0210,000000,ALVI,17020,154,29,182,16838
0014,02583,45,0210,000000,ALVI,159570,1436,274,1710,157860
0014,02253,2,0210,000000,ALVI,8620,78,15,93,8527
0014,04183,15,0210,000000,ALVI,78500,708,134,841,77659
0014,02098,5,0210,000000,ALVI,10280,93,17,110,10170
0014,00074,4,0210,000000,ALVI,15300,138,27,165,15135
0014,03444,10,0210,000000,ALVI,64500,582,110,691,63809
0014,01245,13,0210,000000,ALVI,37120,334,62,397,36723
0014,03934,3,0210,000000,ALVI,10600,96,19,114,10486
0014,03462,4,0210,000000,ALVI,27200,245,47,292,26908
0014,00638,4,0210,000000,ALVI,17930,162,31,192,17738
0014,03946,3,0210,000000,ALVI,7467,67,12,79,7388
0014,004280,1,0210,000000,ALVI,1000,9,2,11,989
0014,00101,4,0210,000000,ALVI,11170,100,19,120,11050
0014,03452,7,0210,000000,ALVI,87950,791,151,943,87007
0014,01152,5,0420,000000,ALVI,10500,95,19,113,10387
0014,02790,3,0210,000000,ALVI,12400,112,22,132,12268
0014,00380,6,0210,000000,ALVI,15040,136,26,162,14878
0014,03066,1,0210,000000,ALVI,6100,55,10,65,6035
0014,02264,2,0210,000000,ALVI,2900,27,5,31,2869
0014,00340,20,0210,000000,ALVI,93504,844,162,1001,92503
0014,00634,10,0210,000000,ALVI,46550,420,79,499,46051
0014,01099,3,0210,000000,ALVI,7800,69,12,84,7716
0014,00964,5,0210,000000,ALVI,13430,121,23,144,13286
0014,00781,50,0210,000000,ALVI,149500,1405,266,1672,147828
0014,02838,10,0210,000000,ALVI,39230,354,66,420,38810
0014,01078,1,0210,000000,ALVI,720,6,1,8,712
0014,03456,5,0210,000000,ALVI,17510,158,31,188,17322
0014,03954,10,0210,000000,ALVI,34160,343,65,408,33752
0014,03954,1,0420,000000,ALVI,3000,27,5,32,2968
0014,02200,37,0210,000000,ALVI,120190,1084,212,1287,118903
0014,01202,5,0210,000000,ALVI,31900,287,55,342,31558
0014,03290,4,0210,000000,ALVI,14950,136,25,161,14789
0014,00753,12,0210,000000,ALVI,91790,826,156,982,90808
0014,02849,16,0210,000000,ALVI,48360,435,84,517,47843
0014,00859,2,0210,000000,ALVI,4850,43,8,52,4798
0014,01014,5,0210,000000,ALVI,21000,189,36,226,20774
0014,00106,1,0420,000000,ALVI,5000,45,9,54,4946
0014,02898,11,0210,000000,ALVI,37710,340,64,403,37307
0014,03564,11,0210,000000,ALVI,84100,760,145,900,83200
0014,00179,4,0210,000000,ALVI,14700,132,26,157,14543
0014,00343,3,0210,000000,ALVI,4940,45,8,53,4887
0014,03496,8,0210,000000,ALVI,28860,260,50,309,28551
0014,03354,1,0210,000000,ALVI,2690,24,5,29,2661
0014,04149,2,0210,000000,ALVI,17800,161,31,190,17610
0014,00865,4,0210,000000,ALVI,75500,680,130,809,74691
0014,02149,8,0210,000000,ALVI,27560,249,48,296,27264
0014,00378,2,0210,000000,ALVI,8350,76,14,90,8260
0014,00502,19,0210,000000,ALVI,62810,568,107,670,62140
0014,01628,6,0210,000000,ALVI,9350,84,16,100,9250
0014,00723,23,0210,000000,ALVI,73413,663,127,786,72627
0014,03021,5,0210,000000,ALVI,6910,63,13,75,6835
0014,04067,5,0210,000000,ALVI,17720,159,31,190,17530
0014,02361,6,0210,000000,ALVI,36750,332,64,392,36358
0014,01771,28,0210,000000,ALVI,115390,1039,197,1236,114154
0014,03383,2,0420,000000,ALVI,2480,23,5,26,2454
0014,03470,4,0210,000000,ALVI,201600,1814,344,2158,199442
0014,03564,1,0420,000000,ALVI,11500,104,20,123,11377
0014,01351,6,0210,000000,ALVI,17080,153,29,184,16896
0014,03178,3,0210,000000,ALVI,34000,306,58,364,33636
0014,00865,1,0420,000000,ALVI,24900,224,43,267,24633
0014,01351,1,0420,000000,ALVI,6220,56,11,67,6153
0014,02131,2,0210,000000,ALVI,5550,50,9,60,5490
0014,02332,7,0210,000000,ALVI,25600,230,43,274,25326
0014,01175,8,0210,000000,ALVI,20520,185,36,219,20301
0014,02783,1,0210,000000,ALVI,4500,41,8,48,4452
0014,00786,2,0210,000000,ALVI,4000,36,7,43,3957
0014,02200,3,0420,000000,ALVI,8250,75,15,88,8162
0014,03278,5,0210,000000,ALVI,42310,381,72,454,41856
0014,01262,6,0210,000000,ALVI,19480,175,33,208,19272
0014,04223,7,0210,000000,ALVI,9200,84,16,99,9101
