ACQ_INST_ID,RETAILER_ID,TOTAL_TXN_CNT,MESSAGE_TYPE,PROCESSING_CODE,CHANNEL_TYPE,TOTAL_AMOUNT,TOTAL_COMMISSION,TOTAL_TAX,TOTAL_DISCOUNT,FINAL_AMOUNT
0012,992702426481,10,0210,000000,GPMPOS,28670,426,83,509,28161
0012,770901339162,7,0210,000000,GPMPOS,37650,562,107,669,36981
0012,847475605258,48,0210,000000,GPMPOS,472200,7056,1340,8392,463808
0012,141750217581,19,0210,000000,GPMPOS,52710,786,150,932,51778
0012,139725894363,1,0210,000000,GPMPOS,4400,66,12,78,4322
0012,108335570892,4,0210,000000,GPMPOS,20250,302,57,359,19891
0012,863350557863,157,0210,000000,GPMPOS,443420,6982,1333,8291,435130
0012,561637683361,12,0210,000000,GPMPOS,52070,775,147,923,51147
0012,254356836258,4,0210,000000,GPMPOS,14000,209,40,248,13752
0012,105106978652,35,0210,000000,GPMPOS,209090,0,0,0,209090
0012,147394149467,38,0210,000000,GPMPOS,223755,3335,633,3967,219788
0012,139645553898,23,0210,000000,GPMPOS,68010,1018,193,1213,66797
0012,166000171546,5,0210,000000,GPMPOS,96400,1436,273,1709,94691
0012,108809694904,66,0210,000000,GPMPOS,396020,5903,1126,7023,388997
0012,100603299530,67,0210,000000,GPMPOS,356680,5422,1032,6452,350228
0012,450275617231,3,0210,000000,GPMPOS,12040,179,34,213,11827
0012,133400834608,47,0210,000000,GPMPOS,179880,2736,524,3257,176623
0012,773045343405,66,0210,000000,GPMPOS,328530,5155,977,6131,322399
0012,139971527636,13,0210,000000,GPMPOS,39090,583,110,693,38397
0012,730275299626,3,0210,000000,GPMPOS,3400,51,10,61,3339
0012,743689025185,56,0210,000000,GPMPOS,222490,3331,633,3967,218523
0012,201270010771,2,0210,000000,GPMPOS,6300,94,17,112,6188
0012,163066444385,10,0210,000000,GPMPOS,29020,431,83,514,28506
0012,258518065056,22,0210,000000,GPMPOS,106070,1815,345,2159,103911
0012,116434761676,8,0210,000000,GPMPOS,43760,652,123,775,42985
0012,838954704434,5,0210,000000,GPMPOS,29700,537,103,640,29060
0012,175641202832,78,0210,000000,GPMPOS,280000,4187,800,4986,275014
0012,102624850084,102,0210,000000,GPMPOS,518740,0,0,0,518740
0012,774356174285,3,0210,000000,GPMPOS,14800,220,41,263,14537
0012,131378322672,4,0210,000000,GPMPOS,40180,599,114,712,39468
0012,143022094327,12,0210,000000,GPMPOS,68700,1063,201,1263,67437
0012,139666935023,44,0210,000000,GPMPOS,137950,2056,389,2449,135501
0012,999425179434,8,0210,000000,GPMPOS,27950,416,80,496,27454
0012,185874424690,62,0210,000000,GPMPOS,614350,9294,1767,11059,603291
0012,771067969030,14,0210,000000,GPMPOS,65670,979,187,1165,64505
0012,189755305246,27,0210,000000,GPMPOS,123250,1838,349,2184,121066
0012,142711788885,18,0210,000000,GPMPOS,45460,727,139,870,44590
0012,262748088690,5,0210,000000,GPMPOS,14140,255,47,302,13838
0012,158239616174,52,0210,000000,GPMPOS,227130,3421,649,4064,223066
0012,125531249070,28,0210,000000,GPMPOS,103100,1539,294,1829,101271
0012,770556063760,26,0210,000000,GPMPOS,223500,5012,949,5958,217543
0012,101510811126,31,0210,000000,GPMPOS,137472,2096,398,2492,134980
0012,135393962163,1,0210,000000,GPMPOS,1050,16,3,19,1031
0012,776638556371,32,0210,000000,GPMPOS,745650,11275,2142,13416,732234
0012,122670634431,26,0210,000000,GPMPOS,117650,1791,339,2134,115516
0012,721234068583,25,0210,000000,GPMPOS,59980,939,177,1116,58864
0012,768976817004,2,0210,000000,GPMPOS,4750,71,14,85,4665
0012,170174208623,32,0210,000000,GPMPOS,132520,1975,376,2348,130172
0012,168619554542,31,0210,000000,GPMPOS,121400,1807,343,2153,119247
